Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
380;Salzmünde, Carl-Wentzel-Platz;2255;de:15088:2255;Salzatal;15088319;11,823295;51,527433
380;Salzmünde, Ölberg;10216;de:15088:10216;Salzatal;15088319;11,827358;51,524863
380;Salzmünde, Ortsmitte;30651;de:15088:30651;Salzatal;15088319;11,826658;51,525428
380;Schiepzig, Geschwister-Scholl-Str.;30676;de:15088:30676;Salzatal;15088319;11,849642;51,526508
380;Schiepzig, Nelkenstr.;9571;de:15088:9571;Salzatal;15088319;11,853368;51,525239
380;Schiepzig, Rosenstr.;31012;de:15088:31012;Salzatal;15088319;11,857852;51,522963
380;Schiepzig, Seeparkstr.;10223;de:15088:10223;Salzatal;15088319;11,858040;51,524352
380;Zappendorf, Fleischerstr.;10269;de:15088:10269;Salzatal;15088319;11,804458;51,507774
410;Aschersleben, Busbahnhof;2767;de:15089:2767;Aschersleben;15089015;11,463438;51,757971
410;Aschersleben, Eislebener Str.;2757;de:15089:2757;Aschersleben;15089015;11,459240;51,748974
410;Aschersleben, Klinikum;2732;de:15089:2732;Aschersleben;15089015;11,459069;51,745831
410;Hettstedt, Ascherslebener Str.;2494;de:15087:2494;Hettstedt;15087220;11,506647;51,655394
410;Hettstedt, Bahnhof (Bus);2495;de:15087:2495;Hettstedt;15087220;11,511718;51,636821
410;Hettstedt, Busbahnhof;2499;de:15087:2499;Hettstedt;15087220;11,511128;51,644430
410;Hettstedt, Eduardschacht (Bus);2655;de:15087:2655;Hettstedt;15087220;11,522435;51,627655
410;Hettstedt, Helios-Klinik;1649;de:15087:1649;Hettstedt;15087220;11,493952;51,657930
410;Hettstedt, Hettstedter Meile;2483;de:15087:2483;Hettstedt;15087220;11,499464;51,656447
410;Hettstedt, Kolpingwerk;2482;de:15087:2482;Hettstedt;15087220;11,487730;51,657541
410;Hübitz, Abzweig;2453;de:15087:2453;Gerbstedt;15087165;11,544205;51,596475
410;Lu. Eisleben, Bahnhof (Bus);2635;de:15087:2635;Eisleben;15087130;11,552016;51,518487
410;Lu. Eisleben, Breiter Weg;2636;de:15087:2636;Eisleben;15087130;11,539322;51,527825
410;Lu. Eisleben, Busbahnhof;2637;de:15087:2637;Eisleben;15087130;11,548543;51,531383
410;Lu. Eisleben, Ecke Hohetorstr.;2639;de:15087:2639;Eisleben;15087130;11,542603;51,530073
410;Lu. Eisleben, Friedensstr.;2616;de:15087:2616;Eisleben;15087130;11,543060;51,521720
410;Lu. Eisleben, Friedhof;2617;de:15087:2617;Eisleben;15087130;11,545422;51,538481
410;Lu. Eisleben, Fritz-Wenck-Str.;2618;de:15087:2618;Eisleben;15087130;11,538306;51,524862
410;Lu. Eisleben, Landwehr;2634;de:15087:2634;Eisleben;15087130;11,556007;51,523632
410;Lu. Eisleben, Magdeburger Str.;2610;de:15087:2610;Eisleben;15087130;11,545552;51,542874
410;Lu. Eisleben, Mansfelder Hof;2628;de:15087:2628;Eisleben;15087130;11,552537;51,525991
