Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
200;Genzien (Arendsee), Ort;267;de:15081:267;Arendsee (Altmark);15081030;11,525350;52,883625
200;Harpe (Leppin), Ort;496;de:15081:496;Arendsee (Altmark);15081030;11,557961;52,917245
200;Höwisch, Ort;472;de:15081:472;Arendsee (Altmark);15081030;11,614538;52,874884
200;Kläden (b. Arendsee), B190;318;de:15081:318;Arendsee (Altmark);15081030;11,436181;52,868317
200;Kraatz (Kläden), B190;5634;de:15081:5634;Arendsee (Altmark);15081030;11,419312;52,863702
200;Kraatz (Kläden), Gehöft;2750;de:15081:2750;Arendsee (Altmark);15081030;11,419445;52,864875
200;Kraatz (Kläden), Ortsausgang;585;de:15081:585;Arendsee (Altmark);15081030;11,423099;52,855968
200;Leppin, B190;195;de:15081:195;Arendsee (Altmark);15081030;11,572841;52,885415
200;Leppin, Ortsausgang;23086;de:15081:23086;Arendsee (Altmark);15081030;11,572009;52,884395
200;Mechau, Gewerbegebiet;16323;de:15081:16323;Arendsee (Altmark);15081030;11,346602;52,864959
200;Mechau, Ort;473;de:15081:473;Arendsee (Altmark);15081030;11,347604;52,871267
200;Neulingen, Ort;6409;de:15081:6409;Arendsee (Altmark);15081030;11,570963;52,864832
200;Pretzier (Altmark), Ort;296;de:15081:296;Salzwedel;15081455;11,261147;52,833865
200;Priemern (Bretsch), Forsthaus;636;de:15090:636;Altmärkische Höhe;15090007;11,625121;52,883200
200;Ritzleben (Binde), Ort;436;de:15081:436;Arendsee (Altmark);15081030;11,344333;52,844485
200;Salzwedel, Ahornweg;260;de:15081:260;Salzwedel;15081455;11,191440;52,841595
200;Salzwedel, Arendseer Str./Friedhof;610;de:15081:610;Salzwedel;15081455;11,176507;52,841895
200;Salzwedel, Bahnhofstr.;22891;de:15081:22891;Salzwedel;15081455;11,156294;52,858348
200;Salzwedel, Dreiländereck;617;de:15081:617;Salzwedel;15081455;11,142372;52,854180
200;Salzwedel, Grundschule Lessing;22828;de:15081:22828;Salzwedel;15081455;11,161224;52,855083
200;Salzwedel, Kämmereiteiche;203;de:15081:203;Salzwedel;15081455;11,167072;52,843900
200;Salzwedel, Kaufland;332;de:15081:332;Salzwedel;15081455;11,150339;52,857623
200;Salzwedel, Lindenweg;458;de:15081:458;Salzwedel;15081455;11,186035;52,841772
200;Salzwedel, Reitstadion;374;de:15081:374;Salzwedel;15081455;11,130921;52,852499
200;Salzwedel, Schwimmhalle;464;de:15081:464;Salzwedel;15081455;11,152003;52,857801
200;Salzwedel, Sportplatz;230;de:15081:230;Salzwedel;15081455;11,132793;52,852243
200;Salzwedel, Thälmannstr.;419;de:15081:419;Salzwedel;15081455;11,162131;52,851847
200;Salzwedel, ZOB;412;de:15081:412;Salzwedel;15081455;11,161038;52,857860
200;Seehausen (Altmark), Gymnasium;3932;de:15090:3932;Seehausen (Altmark);15090520;11,750374;52,891950
200;Seehausen (Altmark), Mühlenstr.;6296;de:15090:6296;Seehausen (Altmark);15090520;11,753290;52,891756
200;Seehausen (Altmark), S-Bahnhof (Bus);6276;de:15090:6276;Seehausen (Altmark);15090520;11,744351;52,885302
200;Seehausen (Altmark), Siedlung;6346;de:15090:6346;Seehausen (Altmark);15090520;11,735602;52,888902
200;Tannenkrug;6349;de:15090:6349;Altmärkische Höhe;15090007;11,679311;52,891121
200;Wittenberge;8010382;de:12070:900216026;Wittenberge;12070424;11,762871;53,003115
200;Wittenberge, Kaufland;22521;de:12070:900216035;Wittenberge;12070424;11,724943;52,993659
200;Wittenberge, Külzstr. I;22522;de:12070:900216036;Wittenberge;12070424;11,740632;52,998152
200;Wittenberge, Külzstr. II;22523;de:12070:900216037;Wittenberge;12070424;11,744906;53,000013
200;Wittenberge, Schillerstr.;22524;de:12070:900216045;Wittenberge;12070424;11,761925;52,998666
200;Wittenberge, Thälmannstr.;22525;de:12070:900216048;Wittenberge;12070424;11,751387;52,999773
200;Zehren (Leppin), Abzweig;16320;de:15081:16320;Arendsee (Altmark);15081030;11,612120;52,883427
200;Zehren (Leppin), Ort;428;de:15081:428;Arendsee (Altmark);15081030;11,623642;52,893060
301;Drehlitz, Ortsmitte;9737;de:15088:9737;Petersberg;15088295;11,965655;51,603584
301;Frößnitz (Petersberg), Köthener Str.;9802;de:15088:9802;Petersberg;15088295;11,944205;51,586701
301;Gottgau Mühlenstr.;9855;de:15088:9855;Wettin-Löbejün;15088216;11,896222;51,643907
301;Gutenberg, Ortsmitte;9891;de:15088:9891;Petersberg;15088295;11,971756;51,546689
301;Gutenberg, Schule;9890;de:15088:9890;Petersberg;15088295;11,966543;51,546354
301;Halle (Saale), Am Steintor;5237;de:15002:5237;Halle (Saale);15002000;11,978086;51,488196
