Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Zeitz, Stephansstr.;4172;de:15084:4172;12,124745;51,048590;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Tröglitzer Str.;4212;de:15084:4212;12,148042;51,054303;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Virchowstr.;4277;de:15084:4277;12,142432;51,044356;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Waldschlößchen;4103;de:15084:4103;12,142903;51,065825;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Wasservorstadt;4278;de:15084:4278;12,135588;51,053460;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Weberstr.;4279;de:15084:4279;12,139450;51,049607;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Weißenfelser Str.;4036;de:15084:4036;12,129744;51,061566;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Wiesengrund;4171;de:15084:4171;12,122738;51,040596;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zellewitz (Zickeritz);1696;de:15089:1696;11,724946;51,646626;15089195;Könnern;15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zellschen;3474;de:15084:3474;11,971884;51,093519;15084013;Meineweh;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zembschen;3499;de:15084:3499;12,092763;51,142009;15084235;Hohenmölsen;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zemnick;940;de:15091:940;12,845246;51,864749;15091391;Zahna-Elster;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Zens, Wartehalle;2892;de:15089:2892;11,724377;51,939059;15089042;Bördeland;15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zens, Zenser Teich;2841;de:15089:2841;11,753391;51,927614;15089042;Bördeland;15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeppernick (Bus);7742;de:15086:7742;12,022860;52,125356;15086140;Möckern;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeppernick, Ersatzhaltestelle;1054;de:15086:1054;12,017756;52,123742;15086140;Möckern;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeppernick(Magdeb);8013387;de:15086:8013387;12,020807;52,123071;15086140;Möckern;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Zepzig (Bernburg);1711;de:15089:1711;11,762341;51,763326;15089030;Bernburg (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zepzig (Bernburg), Abzweig;1613;de:15089:1613;11,750736;51,770952;15089030;Bernburg (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerben;5931;de:15086:5931;11,953425;52,357216;15086035;Elbe-Parey;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerben, Schleuse;3899;de:15086:3899;11,965087;52,346324;15086035;Elbe-Parey;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt;8013389;de:15082:8013389;12,088931;51,953821;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Ahornweg;7794;de:15082:7794;12,087821;51,946621;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Altbuchsland;7793;de:15082:7793;12,086489;51,951799;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Am Springberg;7690;de:15082:7690;12,071323;51,956205;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Am Teufelstein;7688;de:15082:7688;12,081727;51,954288;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Amtsmühlenweg;20010;de:15082:20010;12,076986;51,956444;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
